Identifier,F518_21h,F518_29h,F518_33h,F518_37h,F518_41h,F518_45h,F518_49h,F518_53h,F518_57h
SCO7218,8.548839078,7.960237894,7.537765686,7.057368092,6.940525069,6.712697945,6.476519486,6.294901371,6.48019936
SCO7219,6.472014946,6.765994817,6.47880368,7.519407126,7.046130857,7.012061644,6.813531766,6.778477652,6.982307242
SCO7220,7.393226815,7.528016323,8.345973649,8.442952193,8.916096987,8.628815736,8.78100868,8.563925849,8.570946461
SCO7221,5.802458795,5.932670169,6.484421943,8.099210505,8.1547049,8.589921581,8.557134458,8.425842204,9.015004253
SCO7222,7.176158462,6.992040898,6.429533608,6.493681493,6.639374445,6.614921933,6.727540938,6.635212618,6.560961529
SCO7223,5.899408079,6.150210094,6.616750034,6.873315449,7.22957008,6.894577462,6.842990673,6.903335432,6.363960061
SCO7224,2.585953615,3.482987484,4.902526023,4.275174913,4.159682299,4.174454435,3.823069277,4.314995457,4.757801143
SCO7225,4.739893566,5.116664149,5.377769056,5.382652711,5.392928312,5.510148485,5.193410539,5.219708598,5.172268729
SCO7226,6.062255972,6.362852255,5.894346449,6.756716049,6.670640771,7.393826457,7.523042717,7.423862979,7.762563433
SCO7227,6.419503611,6.557515348,6.438274941,7.306373401,7.71546722,8.216518932,8.476605606,8.213812254,8.570795951
SCO7228,5.877148183,6.16936342,7.233441028,6.588983521,7.024884421,6.494042577,6.550505219,6.586063239,6.581991795
SCO7229,7.016410647,7.183338731,7.415169083,7.62284739,7.024810686,6.444663237,6.600304709,6.37736175,5.894349194
SCO7230,8.11040487,8.188591084,7.808452661,7.402498016,7.110662085,7.334391399,7.409818787,7.429837043,7.69601455
SCO7231,8.110028956,8.39360078,8.708014713,8.391229009,8.500199509,8.245701948,8.319401251,8.38127062,8.150701029
SCO7232,6.920528453,6.969572949,6.728006383,6.498815389,6.416647285,6.266269797,6.301201644,6.30248535,6.357462849
SCO7233,9.063140947,9.335423901,9.619290131,10.0304872,10.23136079,10.07932331,10.15029551,10.28415369,9.99864911
SCO7234,7.193724978,7.118867459,7.463266354,7.346268089,7.625029996,7.40664546,7.465570267,7.202324705,7.415999373
SCO7235,4.065336536,4.433770723,4.999569994,4.758020518,5.037286721,4.934994928,4.9995889,5.042763568,4.155646311
SCO7236,7.508491348,7.594835161,7.788616247,7.978347948,7.816849393,7.845818435,7.798803632,7.526626409,7.385387693
SCO7237,6.886066372,7.490102654,6.211779203,7.157547676,6.148920684,6.729523987,6.716798153,6.538823929,6.828981215
SCO7238,5.641778755,6.238970673,5.443947451,5.680345194,5.215959381,5.673676678,5.265050485,5.165174414,5.291692892
SCO7239,7.725086698,7.686644957,7.411348505,7.987427123,7.874518911,7.886251248,7.878710876,8.113834192,8.103030648
SCO7240,7.993139042,8.1946423,8.300703842,8.887326753,9.358408133,9.168247208,9.182469399,9.03675151,8.88964032
SCO7241,6.358780096,6.368062388,7.201659292,7.283986009,7.894186501,7.347370638,7.426753195,7.394099413,7.026424997
SCO7242,3.43834406,3.482987484,2.202475483,2.163544204,2.549498667,1.711226737,2.109015646,2.318103308,1.657618393
SCO7243,6.087963537,6.236020368,7.531354374,7.559160573,8.118451452,7.766493605,8.009812937,7.800451161,7.694442624
SCO7244,7.047833024,7.093779838,7.834532775,7.607433295,8.163826314,7.93545058,7.827557357,7.902410943,7.837291856
SCO7245,5.646281158,5.40616926,5.492217444,5.97551817,5.907750744,5.59728434,5.928435271,5.727636044,5.436489123
SCO7246,8.067110437,8.530515975,7.374112872,8.426995241,7.791815887,8.173131269,8.365927,8.138726013,8.803359865
SCO7247,8.650950826,9.001921579,8.664067477,9.557460193,9.636859875,9.699866058,9.722222133,9.670310548,9.771801067
SCO7248,5.759354243,5.936304924,4.717941165,5.454605623,5.585091078,5.777185936,5.459397753,5.526352809,5.644290644
SCO7249,9.197709228,9.217680352,8.473788506,8.445536672,8.31535588,8.513341093,8.659567467,8.587541741,8.950301311
SCO7250,7.277318897,7.885256151,7.924178693,8.539377232,8.312373731,8.148711735,8.209620233,8.348968677,8.266592659
SCO7251,10.52857954,12.42985124,12.44320269,12.92125533,11.54420167,11.63763452,11.50487901,11.67914987,11.78703467
SCO7252,11.89689667,13.11069261,12.75171738,13.47478401,12.51752538,12.4603001,12.4921004,12.5919488,12.75168794
SCO7253,9.123422836,10.25838323,10.50809341,11.15653231,11.26059867,11.27919798,11.32884303,11.4699795,11.60696566
SCO7254,7.782751314,8.030628144,8.053373834,8.644434893,8.468188243,8.562517103,8.637271844,8.501844986,8.576509387
